uid	name	rank	parent	description	last_modified	common_name	species_count	split1	short_description
29	Acrididae	family	Orthoptera	Family of short-horned grasshoppers characterized by strong hind legs for jumping, including many important agricultural pests. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Short-horned grasshoppers	18	0	Family of short-horned grasshoppers characterized by strong hind legs for jumping, including many important agricultural pests.

30	Chrysomelidae	family	Coleoptera	Chrysomelidae, or leaf beetles, are a diverse family of beetles that primarily feed on plants. These beetles are found in many ecosystems, where they play a significant role in plant-herbivore interactions and can sometimes cause damage to crops. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	leaf beetles	2	0	Chrysomelidae, or leaf beetles, are a diverse family of beetles that primarily feed on plants.

31	Coenagrionidae	family	Odonata	Family of narrow-winged damselflies, typically brightly colored and found near freshwater habitats throughout much of the world. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	narrow-winged damselflies	14	0	Family of narrow-winged damselflies, typically brightly colored and found near freshwater habitats throughout much of the world.

32	Baetidae	family	Ephemeroptera	Baetidae is a cosmopolitan family of mayflies known for small, fast-swimming larvae found in well-oxygenated freshwater habitats. These larvae are important grazers of algae and detritus and are key prey for aquatic vertebrates. Adults are short-lived, with transparent wings and two or three tails, and are used as indicators of stream health. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	small minnow mayflies	4	0	Baetidae is a cosmopolitan family of mayflies known for small, fast-swimming larvae found in well-oxygenated freshwater habitats.

33	Lonchodidae	family	Phasmatodea	Lonchodidae comprises stick insects native to tropical forests, where their slender, twig-like bodies provide camouflage among foliage. These herbivores feed mainly on leaves and are nocturnal. Their ecological roles include plant pruning and serving as prey for birds. Many species can reproduce without males and possess rudimentary wings. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	slim stick insects	1	0	Lonchodidae comprises stick insects native to tropical forests, where their slender, twig-like bodies provide camouflage among foliage.

34	Hydroptilidae	family	Trichoptera	Family of tiny micro-caddisflies, whose larvae construct small, portable cases from silk and debris. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	microcaddisflies	1	0	Family of tiny micro-caddisflies, whose larvae construct small, portable cases from silk and debris.

35	Perlodidae	family	Plecoptera	An order of stoneflies, commonly found in cold, fast-moving streams, where their larvae play a significant role in the aquatic food web. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	springflies	3	0	An order of stoneflies, commonly found in cold, fast-moving streams, where their larvae play a significant role in the aquatic food web.

36	Pthiridae	family	Psocodea	An order of parasitic lice, typically living on the skin or fur of mammals, often causing irritation and discomfort to their hosts. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	pubic lice	1	0	An order of parasitic lice, typically living on the skin or fur of mammals, often causing irritation and discomfort to their hosts.

37	Lepidostomatidae	family	Trichoptera	An order of caddisflies, distinguished by their aquatic larvae, which build protective cases from debris and organic material. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	lepidostomatid caddisflies	1	0	An order of caddisflies, distinguished by their aquatic larvae, which build protective cases from debris and organic material.

38	Tettigoniidae	family	Orthoptera	Family of insects known as katydids or bush crickets, characterized by their long antennae and acoustic signaling. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	katydids	16	0	Family of insects known as katydids or bush crickets, characterized by their long antennae and acoustic signaling.

39	Peltoperlidae	family	Plecoptera	An order of stoneflies, often found in cool, fast-flowing streams, where they are a key component of the aquatic food web. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	roach-like stoneflies	1	0	An order of stoneflies, often found in cool, fast-flowing streams, where they are a key component of the aquatic food web.

40	Uloboridae	family	Araneae	Uloboridae is a family of cribellate orb-weaving spiders that construct unique webs. Unlike most orb-weavers, these spiders do not rely on venom to capture prey but instead use their intricate silk webs to entangle and subdue smaller insects. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	hackled orb weavers	1	0	Uloboridae is a family of cribellate orb-weaving spiders that construct unique webs.

41	Ricaniidae	family	Hemiptera	An order of leafhoppers, recognized for their large size and strong, jumping legs, often associated with agricultural pests. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	ricaniid planthoppers	3	0	An order of leafhoppers, recognized for their large size and strong, jumping legs, often associated with agricultural pests.

42	Thripidae	family	Thysanoptera	Largest family of thrips, small slender insects, many of which are pests of crops and flowers. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	common thrips	16	0	Largest family of thrips, small slender insects, many of which are pests of crops and flowers.

43	Gyrinidae	family	Coleoptera	Family of whirligig beetles, adapted to swimming on the surface of water with divided eyes for aerial and aquatic vision. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	whirligig beetles	1	0	Family of whirligig beetles, adapted to swimming on the surface of water with divided eyes for aerial and aquatic vision.

44	Pyrrhocoridae	family	Hemiptera	Family of insects commonly known as red bugs or cotton stainers, recognized for their bright red and black coloration. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	red bugs	1	0	Family of insects commonly known as red bugs or cotton stainers, recognized for their bright red and black coloration.

45	Labiduridae	family	Dermaptera	Family of earwigs known for their large size and strong forceps, often found in tropical and subtropical regions. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	striped earwigs	5	0	Family of earwigs known for their large size and strong forceps, often found in tropical and subtropical regions.

46	Reduviidae	family	Hemiptera	Reduviidae, commonly known as assassin bugs, are predatory insects found in diverse habitats worldwide, including forests, grasslands, and deserts. They use their piercing-sucking mouthparts to inject enzymes into prey and feed on liquefied tissues. While most are beneficial predators of pest insects, some species are vectors of disease, such as Chagas disease in the Americas. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	assassin bugs	20	0	Reduviidae, commonly known as assassin bugs, are predatory insects found in diverse habitats worldwide, including forests, grasslands, and deserts.

47	Corixidae	family	Hemiptera	Order of aquatic insects called water boatmen, adapted to swimming with paddle-shaped hind legs and often air-carrying. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	water boatmen	20	0	Order of aquatic insects called water boatmen, adapted to swimming with paddle-shaped hind legs and often air-carrying.

48	Thelyphonidae	family	Thelyphonida	Family of whip scorpions or vinegaroons, arachnids known for their long whip-like tails and defensive spray of acetic acid. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	whip scorpions	20	0	Family of whip scorpions or vinegaroons, arachnids known for their long whip-like tails and defensive spray of acetic acid.

49	Chirocephalidae	family	Anostraca	Order of fairy shrimp inhabiting ephemeral pools, recognized by their delicate bodies and filter-feeding behavior. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	fairy shrimp	1	0	Order of fairy shrimp inhabiting ephemeral pools, recognized by their delicate bodies and filter-feeding behavior.

50	Glossinidae	family	Diptera	Family of tsetse flies, vectors of African trypanosomiasis (sleeping sickness) transmitted to humans and livestock. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	tsetse flies	1	0	Family of tsetse flies, vectors of African trypanosomiasis (sleeping sickness) transmitted to humans and livestock.

51	Elipsocidae	family	Psocodea	Family of small, often tree-dwelling bark lice, typically found under the bark of trees where they feed on fungi. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	damp barklice	2	0	Family of small, often tree-dwelling bark lice, typically found under the bark of trees where they feed on fungi.

52	Galeodidae	family	Solifugae	Galeodidae is a family of solifuges, commonly known as sun spiders or camel spiders, found in arid and semi-arid regions. Members are fast, aggressive hunters with large chelicerae used to tear apart prey. Although fearsome in appearance, they are harmless to humans and lack venom. Galeodids are nocturnal and highly adapted for survival in extreme desert environments, with acute sensory systems and efficient water retention. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	sun spiders	5	0	Galeodidae is a family of solifuges, commonly known as sun spiders or camel spiders, found in arid and semi-arid regions.

53	Hydropsychidae	family	Trichoptera	Hydropsychidae, or net-spinning caddisflies, are a family of aquatic insects whose larvae construct silk nets to trap small particles and prey in flowing water. These larvae play a significant role in aquatic ecosystems by contributing to nutrient cycling and providing food for other invertebrates and fish. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	net-spinning caddisflies	2	0	Hydropsychidae, or net-spinning caddisflies, are a family of aquatic insects whose larvae construct silk nets to trap small particles and prey in flowing water.

54	Theraphosidae	family	Araneae	An order of large, robust spiders commonly known as tarantulas, often kept as pets due to their docile nature despite their intimidating appearance. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	tarantulas	20	0	An order of large, robust spiders commonly known as tarantulas, often kept as pets due to their docile nature despite their intimidating appearance.

55	Nepidae	family	Hemiptera	An order of water scorpions, characterized by their predatory behavior and ability to remain submerged for long periods while hunting prey. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	water scorpions	20	0	An order of water scorpions, characterized by their predatory behavior and ability to remain submerged for long periods while hunting prey.

56	Chernetidae	family	Pseudoscorpiones	Family of pseudoscorpions with strong pedipalps, occupying a wide variety of habitats including homes and forests. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	false scorpions	3	0	Family of pseudoscorpions with strong pedipalps, occupying a wide variety of habitats including homes and forests.

57	Pompilidae	family	Hymenoptera	An order of wasps known for their solitary nature and parasitic behavior, where they hunt and paralyze spiders to serve as living food for their larvae. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	spider wasps	2	0	An order of wasps known for their solitary nature and parasitic behavior, where they hunt and paralyze spiders to serve as living food for their larvae.

58	Varroidae	family	Mesostigmata	An order of parasitic mites that are primarily known for infesting honeybee colonies, where they can cause significant harm to the hive. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	bee mites	1	0	An order of parasitic mites that are primarily known for infesting honeybee colonies, where they can cause significant harm to the hive.

59	Ephydridae	family	Diptera	Ephydridae is a family of small, often aquatic flies found in freshwater habitats like ponds, marshes, and streams. Known as shore flies, they feed on algae, decaying organic matter, and plant material. Their distinctive behavior includes walking or resting on the surface of water, where they may prey on small invertebrates or scavenge. These flies are important in nutrient recycling and serve as food for various predators. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	shore flies	3	0	Ephydridae is a family of small, often aquatic flies found in freshwater habitats like ponds, marshes, and streams.

60	Buthidae	family	Scorpiones	Family of venomous scorpions with slender pincers and potent neurotoxic venom, including many medically important species. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	scorpions	10	0	Family of venomous scorpions with slender pincers and potent neurotoxic venom, including many medically important species.

61	Fulgoridae	family	Hemiptera	Fulgoridae is a family of large and visually striking planthoppers, often found in tropical forests. They feed on plant sap using specialized mouthparts and may exhibit elaborate head structures, such as lantern-like projections. Their ecological roles include herbivory and nutrient cycling, and some species are mimics or use warning coloration to deter predators. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	lanternflies	20	0	Fulgoridae is a family of large and visually striking planthoppers, often found in tropical forests.

62	Geophilidae	family	Geophilomorpha	An order of centipedes, typically found in soil, where they prey on small invertebrates and play an important role in soil health. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	soil centipedes	2	0	An order of centipedes, typically found in soil, where they prey on small invertebrates and play an important role in soil health.

63	Ixodidae	family	Ixodida	Ixodidae, commonly known as hard ticks, are a family of arachnids known for their role as vectors of diseases such as Lyme disease and tick-borne encephalitis. These parasitic insects feed on the blood of mammals, birds, and reptiles, and are typically found in forests, grasslands, and other natural habitats. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	hard ticks	16	0	Ixodidae, commonly known as hard ticks, are a family of arachnids known for their role as vectors of diseases such as Lyme disease and tick-borne encephalitis.

64	Arctacaridae	family	Mesostigmata	Arctacaridae are a small family of predatory mites that are adapted to cold environments. These mites are often found in Arctic and subarctic regions, where they hunt small invertebrates and contribute to controlling pest populations in their ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Arctic Mites	1	0	Arctacaridae are a small family of predatory mites that are adapted to cold environments.

65	Candonidae	family	Podocopida	Family of freshwater ostracods inhabiting lakes, ponds, and groundwater systems, often important indicators of water quality. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	ostracods	4	0	Family of freshwater ostracods inhabiting lakes, ponds, and groundwater systems, often important indicators of water quality.

66	Acerentomidae	family	Protura	Primitive, eyeless soil-dwelling hexapods with slender bodies, members of the Protura known for their leaf-litter habitats. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	False coneheads	13	0	Primitive, eyeless soil-dwelling hexapods with slender bodies, members of the Protura known for their leaf-litter habitats.

67	Aeshnidae	family	Odonata	Large, powerful dragonflies known for strong flight, vivid coloration, and extensive aquatic nymph stages in freshwater habitats. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Darners	4	0	Large, powerful dragonflies known for strong flight, vivid coloration, and extensive aquatic nymph stages in freshwater habitats.

68	Isotomidae	family	Hexapoda	Isotomidae is a diverse family of springtails found in moist soil, leaf litter, moss, and decaying wood. These small hexapods are detritivores, consuming decomposing organic matter and fungi. They contribute significantly to soil health and nutrient recycling and possess a furcula for jumping when disturbed. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	slender springtails	3	0	Isotomidae is a diverse family of springtails found in moist soil, leaf litter, moss, and decaying wood.

69	Erebidae	family	Lepidoptera	Erebidae is a diverse family of moths found worldwide, including both large and small species. Known for their vibrant colors and intricate patterns, many Erebidae species are nocturnal and exhibit remarkable flight abilities. Their larvae, often called caterpillars, feed on a wide range of plants, and some species are agricultural pests. The family includes the subfamilies Arctiinae (tiger moths) and Noctuinae (owlet moths), each with distinctive habits and ecological roles. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	erebid moths	3	0	Erebidae is a diverse family of moths found worldwide, including both large and small species.

70	Trichopsocidae	family	Psocodea	Trichopsocidae is a small family of bark lice that inhabit tree bark, leaf litter, and detritus. They feed on algae, lichens, and fungal spores, contributing to the breakdown of organic materials. These tiny scavengers are harmless and play a role in maintaining healthy forest and woodland ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Lash-faced Psocids	1	0	Trichopsocidae is a small family of bark lice that inhabit tree bark, leaf litter, and detritus.

71	Aeolothripidae	family	Thysanoptera	Predatory thrips family with members often found on flowers, distinguished by their rapid movements and fringed wings. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Predatory thrips	1	0	Predatory thrips family with members often found on flowers, distinguished by their rapid movements and fringed wings.

72	Plutellidae	family	Lepidoptera	An order of moths, including the diamondback moth, known for its agricultural pest status as its larvae feed on cruciferous crops. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	diamondback moths	1	0	An order of moths, including the diamondback moth, known for its agricultural pest status as its larvae feed on cruciferous crops.

73	Glomeridae	family	Glomerida	An order of millipedes, often found in decaying wood or leaf litter, contributing to decomposition and soil aeration in terrestrial ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	pill millipedes	1	0	An order of millipedes, often found in decaying wood or leaf litter, contributing to decomposition and soil aeration in terrestrial ecosystems.

74	Halictidae	family	Hymenoptera	An order of bees, commonly known as sweat bees, characterized by their attraction to sweat and their important role in pollination. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	sweat bees	2	0	An order of bees, commonly known as sweat bees, characterized by their attraction to sweat and their important role in pollination.

75	Pulicidae	family	Siphonaptera	An order of fleas, parasitic insects that feed on the blood of mammals and birds, often spreading diseases like plague. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	fleas	9	0	An order of fleas, parasitic insects that feed on the blood of mammals and birds, often spreading diseases like plague.

